date,open,high,low,close,volume,bm_ret_week
2024-10-25,2211.395,2277.168,2168.241,2238.897,178380801277.0,0.012436493706461382
2024-11-01,2228.078,2239.261,2120.725,2123.738,179004962882.0,-0.04682959932282449
2024-11-08,2122.98,2402.379,2122.98,2321.587,182827482779.0,0.09355104617094834
2024-11-15,2298.619,2448.201,2243.62,2243.62,161621240188.0,-0.023926975283855345
2024-11-22,2244.323,2283.748,2173.184,2175.571,140029150841.0,-0.030633736766053743
2024-11-29,2184.103,2264.679,2119.535,2224.003,132204278887.0,0.018268369211525304
2024-12-06,2212.359,2289.809,2204.39,2267.064,149369108451.0,0.02472699955115787
2024-12-13,2265.188,2358.485,2229.514,2235.259,157553941242.0,-0.013212589860091106
2024-12-20,2232.625,2234.186,2174.943,2209.662,119079142524.0,-0.0102852023962825
2024-12-27,2205.69,2235.556,2185.353,2204.896,104232327337.0,-0.00035997805675314076
2025-01-03,2198.865,2218.735,2015.963,2015.967,78928218041.0,-0.08317836702116765
2025-01-10,2018.246,2033.268,1963.806,1975.305,88610279218.0,-0.021276395444361107
2025-01-17,1953.886,2084.226,1953.82,2067.275,94954432171.0,0.05803255665888396
2025-01-24,2090.143,2151.477,2081.075,2121.839,93576549614.0,0.015164512667315
2025-01-31,2119.169,2123.148,2063.82,2063.82,17752012165.0,-0.026118256731765932
2025-02-07,2082.991,2200.102,2054.371,2174.351,76173993692.0,0.04386000707636284
2025-02-14,2183.78,2223.386,2142.049,2215.298,137686510224.0,0.014432772532031457
2025-02-21,2243.658,2284.038,2173.54,2281.512,149461623626.0,0.01687155529051232
2025-02-28,2277.154,2283.79,2163.687,2170.392,149296417730.0,-0.04688396129554706
2025-03-07,2176.817,2243.279,2161.056,2205.307,130103365986.0,0.013087916898848029
2025-03-14,2211.097,2233.83,2154.949,2226.716,123483946812.0,0.007063914427996476
2025-03-21,2230.854,2242.217,2149.091,2152.279,121032050292.0,-0.03522193742844659
2025-03-28,2154.67,2165.16,2117.755,2128.209,99803080460.0,-0.012280766892378114
2025-04-04,2117.885,2127.538,2057.634,2065.403,67273801951.0,-0.02478038231537616
2025-04-11,1925.641,1944.102,1756.64,1926.37,129927510132.0,0.00037857523806339444
2025-04-18,1954.049,1956.156,1879.776,1913.97,82773110045.0,-0.020510744612852516
2025-04-25,1910.904,1962.678,1901.813,1947.186,89040797006.0,0.018986825083834535
2025-05-02,1951.16,1954.623,1923.856,1948.03,48835537896.0,-0.0016041739273048305
2025-05-09,1966.968,2036.101,1964.458,2011.767,84108473008.0,0.022775662847590805
2025-05-16,2042.902,2103.369,2035.865,2039.445,92565894583.0,-0.0016922006048258886
2025-05-23,2038.048,2077.481,2017.167,2021.499,87498993359.0,-0.008120024651038671
2025-05-30,2016.37,2023.485,1981.668,1993.188,84772061778.0,-0.011496897890764024
2025-06-06,1986.543,2053.563,1985.567,2039.435,75675004007.0,0.026625147303632524
2025-06-13,2046.427,2076.913,2023.168,2043.824,110477339944.0,-0.001271973053522002
2025-06-20,2038.699,2063.084,2007.507,2009.893,104395710387.0,-0.0141295993179964
2025-06-27,1996.962,2146.036,1996.962,2124.344,122732027099.0,0.06378789381069838
2025-07-04,2132.931,2187.884,2118.552,2156.234,117299907586.0,0.01092534170116144
2025-07-11,2148.934,2223.305,2126.323,2207.097,110980083669.0,0.027065977829007215
2025-07-18,2207.543,2296.911,2189.08,2277.152,105755228496.0,0.03153234161237162
2025-07-25,2285.414,2350.062,2273.809,2340.056,116099544523.0,0.023909016046983034
2025-08-01,2346.381,2406.594,2304.385,2322.627,117880727416.0,-0.010123675566755752
2025-08-08,2307.373,2372.683,2304.483,2333.959,119338347532.0,0.01152219428761625
2025-08-15,2336.929,2541.894,2336.929,2534.219,133539907813.0,0.08442276166712803
2025-08-22,2549.552,2683.9,2529.249,2682.553,155507902931.0,0.05216641982591441
2025-08-29,2720.281,2933.992,2700.278,2890.125,164827792583.0,0.06243619684878143
2025-09-05,2914.642,2979.735,2741.076,2958.181,131834218391.0,0.014938026694187645
2025-09-12,2964.428,3056.526,2843.672,3020.423,115498077547.0,0.018888972847375562
2025-09-19,3052.059,3168.679,3020.628,3091.003,124843734620.0,0.012759910604611457
2025-09-26,3093.968,3266.003,3041.461,3151.53,110605265395.0,0.018604588024181412
2025-10-03,3165.065,3279.018,3164.804,3238.16,39747741117.0,0.023094312439081
2025-10-10,3251.04,3322.444,3097.635,3113.262,45006253649.0,-0.04237966927506265
2025-10-17,2975.026,3124.834,2927.515,2935.37,95917893224.0,-0.013329631404901954
2025-10-24,3007.208,3171.569,2970.188,3171.569,83175282738.0,0.05465568061803494
2025-10-31,3227.179,3331.859,3179.623,3187.533,104695261593.0,-0.012285032841376387
2025-11-07,3179.297,3240.345,3068.948,3208.206,99569893168.0,0.009092890661048791
